city,file
,AT
18. Juni 1942.,DE
19. Juli 1943.,AT
26. Jan 1972.,AT
Ahaus,DE
Amberg,DE
Ansbach,DE
Aschaffenburg,DE
Banská Štiavnica,SK
Bergneustadt,DE
Berlin,DE
Białystok,PL
Bludenz,AT
Bp.,HU
Bräunlingen,DE
Budapest,HU
Bukarest/Rumänien,AT
Bydgoszcz,PL
Bytom,PL
Börnsdorf,DE
Crimmitschau,DE
Debrecen,HU
Dresden,DE
Dédes,HU
Elte,DE
Essen,DE
Finowfurt,DE
Freiberg,DE
Garrel,DE
Gdańsk 1957.03.15.,PL
Gdynia,PL
Graz,AT
Gyöngyös,HU
Halstenbek,DE
Hamburg,DE
Heidelberg,DE
Isingdorf,DE
Jarocin,PL
Katowice,PL
Kecskemét,HU
Knittelfeld,AT
Koblenz,DE
Koellerbach,DE
Konstanz,DE
Kopenhagen,DE
Kraków,PL
Kráľová pri Senci,SK
Köln,DE
Landeck,AT
Legnica,PL
Liebenstein/Eger,DE
Liptovský Mikuláš,SK
Lonsee,DE
Lubliniec,PL
Miskolc,HU
Mühldorf/Inn,DE
München,DE
Neukirch,DE
New York,SK
Nonnweiler-Schwarzenbach,DE
Nowa Sarzyna,PL
Nowa Sól,PL
Ober-Danegg,AT
Offenbach/Main,DE
Osterode/Harz,DE
Owinska,PL
Poznań,PL
Przemyśl,PL
Przygodzice k. Ostrowa Wielkopolskiego,PL
Pécs,HU
Rybnik,PL
Saarbrücken,DE
Salgótarján,HU
Salzgitter,DE
St. Pölten,AT
Stuttgart,DE
Sulzbach,DE
Szczecin,PL
Szczecinek (woj. zachodniopomorskie),PL
Szekszárd,HU
Sárospatak,HU
Thaleischweiler,DE
Tiszafüred,HU
Tiszakécske,HU
Trenčín,SK
Tuchola,PL
Wadersloh,DE
Warszawa,PL
Weimar,DE
Wien,AT
Wołomin 1968.03.20..,PL
Wulkaprodersdorf,AT
Zgierz,PL
Závod,SK
Złochowice (powiat Kłobuck),PL
Łopatki k. Łasku,PL
Świętochłowice,PL
Αθήνα,GR
Kolozsvár,HU
Viedeň,SK
